396,184,6548,,334,184,6559
360,272,6476,,355,207,6540
472,236,6740,,376,229,6580
388,212,6616,,404,226,6595
396,192,6556,,404,228,6597
412,196,6584,,417,209,6624
340,132,6624,,384,183,6595
328,220,6604,,369,185,6592
344,284,6668,,356,208,6620
380,132,6524,,348,192,6605
384,156,6536,,359,198,6583
308,132,6676,,354,176,6601
364,160,6588,,359,145,6581
304,192,6584,,340,160,6596
412,160,6652,,347,161,6625
372,112,6516,,363,156,6585
356,140,6568,,361,151,6580
304,224,6716,,361,159,6613
308,248,6516,,335,181,6579
336,168,6712,,326,195,6628
320,236,6484,,317,219,6607
384,216,6536,,337,217,6562
324,296,6500,,341,229,6558
408,188,6528,,359,234,6512
308,148,6632,,356,212,6549
384,236,6716,,356,217,6594
396,156,6596,,374,182,6618
328,176,6464,,354,179,6602
424,68,6600,,383,159,6594
404,296,6664,,388,174,6581
464,260,6536,,405,200,6566
472,212,6568,,441,209,6592
380,120,6716,,430,222,6621
416,272,6588,,433,216,6602
380,272,6508,,412,219,6595
428,292,6488,,401,239,6575
336,228,6676,,390,266,6565
284,364,6520,,357,289,6548
400,224,6676,,362,277,6590
372,-120,6652,,348,174,6631
396,-60,6388,,363,102,6559
364,212,6692,,383,64,6602
404,188,6468,,384,55,6550
332,196,6664,,374,134,6553
340,132,6668,,360,182,6623
432,84,6648,,377,150,6612
356,208,6692,,365,155,6668
316,156,6584,,361,145,6648
372,160,6556,,369,152,6620
380,96,6604,,356,155,6609
392,212,6584,,365,156,6582
424,180,6692,,392,162,6609
440,32,6432,,409,130,6578
332,148,6520,,397,143,6557
416,188,6524,,403,137,6542
300,156,6584,,372,131,6515
448,244,6616,,374,184,6561
428,168,6632,,398,189,6589
348,212,6696,,381,195,6632
368,216,6572,,398,210,6629
432,192,6588,,394,197,6622
416,84,6672,,391,176,6632
408,276,6504,,406,192,6584
456,184,6704,,428,184,6617
628,244,6440,,477,197,6580
452,72,6532,,486,194,6545
72,-484,7368,,402,4,6761
300,-132,6580,,363,-75,6730
476,444,6776,,325,-25,6814
44,460,6740,,223,72,6866
-12,184,6704,,202,239,6700
288,84,6752,,199,293,6743
160,220,6984,,120,237,6795
468,-128,6728,,226,90,6792
560,-400,6636,,369,-56,6775
496,24,6596,,421,-71,6736
244,36,6580,,442,-117,6635
96,76,6472,,349,-66,6571
